date,merchant,category,amount
2026-04-28,TSB CLEVELEYS,CASH,420.0
2026-04-28,AMAZON INT'L,PURCHASE,36.59
2026-04-28,RETURNED DD,CREDIT,40.0
2026-04-28,MR JOHN SMITH,TRANSFER,32.72
2026-04-28,WORKING TAX CREDIT,CREDIT,22.42
2026-04-27,MS JANE DOE,TRANSFER,7.93
2026-04-27,CIRCLE UK TRADING REFUND,CREDIT,50.59
2026-04-27,MS JANE DOE,TRANSFER,15.86
2026-04-27,DVLA LICENSE,DIRECT_DEBIT,20.56
2026-04-27,E&L INSURANCE,DIRECT_DEBIT,2.99
2026-04-27,TESCO ONLINE SHOPPING,DIRECT_DEBIT,23.62
2026-04-27,PAYPAL EBAY,PURCHASE,7.56
2026-04-25,CASHBACK,CASH,70.0
2026-04-25,MENS HEALTH SUBSCRIPTION,DIRECT_DEBIT,24.5
2026-04-25,OUTGOING DD,DIRECT_DEBIT,10.0
2026-04-25,SAVE THE CHANGE,BILL_PAYMENT,0.41
2026-04-25,AMAZON PLC,PURCHASE,36.59
2026-04-25,SAVE THE CHANGE,BILL_PAYMENT,0.5
2026-04-25,WWW.BINGO.COM,PURCHASE,10.5
2026-04-23,MORSES CLUB LTD,PURCHASE,30.0
2026-04-23,ANYVAN LTD,CREDIT,32.5
2026-04-23,LNK ATM WITHDRAWAL,ATM,100.0
2026-04-23,SAVE THE CHANGE,BILL_PAYMENT,1.57
2026-04-23,WWW.METROBANK.COM,PURCHASE,20.0
2026-04-22,AMAZON INT'L,PURCHASE,5.0
2026-04-22,SAVE THE CHANGE,BILL_PAYMENT,0.01
2026-04-22,TESCO MOBILE LTD,PURCHASE,39.25
2026-04-22,PAYPAL WWW.EBAY.COM,PURCHASE,36.59
2026-04-22,OAKAM LIMITED,PURCHASE,36.59
2026-04-20,REGENDA REDWING,PURCHASE,150.0
2026-04-20,WORKING TAX CREDIT,CREDIT,22.42
2026-04-20,PARKRETAIL.CO.UK,PURCHASE,550.0
2026-04-20,CHILD TAX CREDIT,CREDIT,345.13
2026-04-19,AMAZON PRIME,PURCHASE,7.99
2026-04-19,CLEVELEYS.COM,CREDIT,1450.42
2026-04-18,CIRCLE UK TRADING,CREDIT,82.21
2026-04-17,MR JOHN SMITH,CREDIT,137.6
2026-04-17,AA INSURANCE,DIRECT_DEBIT,12.73
2026-04-17,AXA WEALTH LTD,DIRECT_DEBIT,40.0
2026-04-17,MORRISONS PETROL,PURCHASE,20.0
2026-04-17,SAVE THE CHANGE,BILL_PAYMENT,0.63
2026-04-17,TAILSCOM,PURCHASE,6.37
2026-04-15,ASDA STOES LTD,PURCHASE,32.0
2026-04-15,SAVE THE CHANGE,BILL_PAYMENT,0.55
2026-04-15,AMAZON BLACK FRIDAY,PURCHASE,15.45
2026-04-15,SAVE THE CHANGE,BILL_PAYMENT,0.5
2026-04-15,TESCO EXTRA,PURCHASE,3.59
2026-04-15,PAYPAL EBAY,PURCHASE,10.0
2026-04-14,PAYPAL BETFRED,PURCHASE,2.0
2026-04-14,MT SECURETRADE LIM,PURCHASE,20.5
2026-04-14,MT SECURETRADE LIM,PURCHASE,43.5
2026-04-12,SAVE THE CHANGE,BILL_PAYMENT,0.41
2026-04-12,AA MEMBERSHIP,DIRECT_DEBIT,23.11
2026-04-11,CIRCLE UK TRADING,CREDIT,50.0
2026-04-11,MS JANE DOE,TRANSFER,50.0
2026-04-11,WORKING TAX CREDIT,CREDIT,22.42
2026-04-11,BUTLINS HOLIDAYS,PURCHASE,17.0
2026-04-10,AXA WEALTH LTD,DIRECT_DEBIT,40.0
2026-04-10,ASDA STORES LTD,PURCHASE,5.0
2026-04-10,RETURNED DD,CREDIT,40.0
2026-04-10,CIRCLE UK TRADING,CREDIT,50.36
2026-04-10,OUTGOING DD,DIRECT_DEBIT,30.0
2026-04-10,EDF ENERGY,BILL_PAYMENT,24.5
2026-04-09,DVLA LICENCE,DIRECT_DEBIT,23.62
2026-04-09,DVLA TAX,DIRECT_DEBIT,20.56
2026-04-09,SAVE THE CHANGE,BILL_PAYMENT,0.41
2026-04-09,MS JANE DOE,TRANSFER,70.0
2026-04-08,SAVE THE CHANGE,BILL_PAYMENT,0.01
2026-04-08,WORKING TAX CREDIT,CREDIT,22.42
2026-04-08,CREDITREPORTSERVIC,PURCHASE,14.99
2026-04-08,REGENDA REDWING RE,PURCHASE,100.0
2026-04-08,BROADWAY GAMING LT CD 0315,PURCHASE,10.0
2026-04-08,SAVE THE CHANGE,BILL_PAYMENT,0.69
2026-04-08,SAVE THE CHANGE,BILL_PAYMENT,1.04
2026-04-08,BOOKER LIMITED BLA,PURCHASE,24.31
2026-04-07,EE & T-MOBILE,PURCHASE,82.37
2026-04-07,SAVE THE CHANGE,BILL_PAYMENT,1.15
2026-04-07,MS JANE DOE,TRANSFER,70.0
2026-04-07,18db38 Betropolis LTD LC Betropolis,PURCHASE,10.0
2026-04-06,TESCO MOBILE LTD,PURCHASE,28.25
2026-04-06,WORKING TAX CREDIT,CREDIT,22.42
2026-04-06,W M MORRISONS PLC,PURCHASE,12.89
2026-04-06,TESCO MOBILE LTD,PURCHASE,50.0
2026-04-06,HOME BARGAINS FLEE,PURCHASE,9.71
2026-04-06,CHILD TAX CREDIT,CREDIT,346.35
2026-04-06,MR JOHN SMITH,CREDIT,137.6
2026-04-06,MS JANE DOE,TRANSFER,61.89
2026-04-06,SAVE THE CHANGE,BILL_PAYMENT,0.01
2026-04-06,AMAZON PRIME,PURCHASE,5.0
2026-04-05,LNK ATM WITHDRAWAL,ATM,60.0
2026-04-05,SAVE THE CHANGE,BILL_PAYMENT,1.89
2026-04-05,THE INSURANCE EMPO,DIRECT_DEBIT,5.79
2026-04-05,AMAZON PRIME,PURCHASE,7.99
2026-04-05,VANQUIS BANK,PURCHASE,23.15
2026-04-05,AA INSURANCE,DIRECT_DEBIT,12.73
2026-04-05,WWW.TAILS.COM,PURCHASE,6.37
2026-04-05,ANNATAR,PURCHASE,20.0
2026-04-04,ANNATAR LIMITED,PURCHASE,10.0
